Name,Type,Value,LCA unit,ESM unit,Assumptions & Sources
Electric-Powered Long Distance Truck,Construction,=1 * 8760 * 0.093 / (7.4 * 98000),unit,ton kilometer per hour,"payload (7.4 t), yearly distance (98000 km): (Sacchi, 2022), capacity factor (0.093): (Limpens, 2021)"
Electric-Powered Long Distance Truck,Operation,=1,ton kilometer,ton kilometer,None
Gasoline-Powered Long Distance Truck,Construction,=1 * 8760 * 0.093 / (7.4 * 98000),unit,ton kilometer per hour,"payload (7.4 t), yearly distance (98000 km): (Sacchi, 2022), capacity factor (0.093): (Limpens, 2021)"
Gasoline-Powered Long Distance Truck,Operation,=1,ton kilometer,ton kilometer,None
Diesel Hybrid Long Distance Truck,Construction,=1 * 8760 * 0.093 / (7.4 * 98000),unit,ton kilometer per hour,"payload (7.4 t), yearly distance (98000 km): (Sacchi, 2022), capacity factor (0.093): (Limpens, 2021)"
Diesel Hybrid Long Distance Truck,Operation,=1,ton kilometer,ton kilometer,None
Propane-Powered Long Distance Truck,Construction,=1 * 8760 * 0.093 / (7.4 * 98000),unit,ton kilometer per hour,"payload (7.4 t), yearly distance (98000 km): (Sacchi, 2022), capacity factor (0.093): (Limpens, 2021)"
Propane-Powered Long Distance Truck,Operation,=1,ton kilometer,ton kilometer,None
100% BioDiesel-Powered Short Distance Truck,Construction,=1 * 8760 * 0.093 / (3.2 * 78000),unit,ton kilometer per hour,"payload (3.2 t), yearly distance (78000 km): (Sacchi, 2021), capacity factor (0.093): (Limpens, 2021)"
100% BioDiesel-Powered Short Distance Truck,Operation,=1/3.2,kilometer,ton kilometer,"payload (3.2 t): (Sacchi, 2021)"
20% BioDiesel-Powered Short Distance Truck,Construction,=1 * 8760 * 0.093 / (3.2 * 78000),unit,ton kilometer per hour,"payload (3.2 t), yearly distance (78000 km): (Sacchi, 2021), capacity factor (0.093): (Limpens, 2021)"
20% BioDiesel-Powered Short Distance Truck,Operation,=1/3.2,kilometer,ton kilometer,"payload (3.2 t): (Sacchi, 2021)"
Compressed Natural Gas-Powered Short Distance Truck,Construction,=1 * 8760 * 0.093 / (3.2 * 78000),unit,ton kilometer per hour,"payload (3.2 t), yearly distance (78000 km): (Sacchi, 2021), capacity factor (0.093): (Limpens, 2021)"
Compressed Natural Gas-Powered Short Distance Truck,Operation,=1/3.2,kilometer,ton kilometer,"payload (3.2 t): (Sacchi, 2021)"
Diesel-Powered Short Distance Truck,Construction,=1 * 8760 * 0.093 / (3.2 * 78000),unit,ton kilometer per hour,"payload (3.2 t), yearly distance (78000 km): (Sacchi, 2021), capacity factor (0.093): (Limpens, 2021)"
Diesel-Powered Short Distance Truck,Operation,=1/3.2,kilometer,ton kilometer,"payload (3.2 t): (Sacchi, 2021)"
Electric-Powered Short Distance Truck,Construction,=1 * 8760 * 0.093 / (3.2 * 78000),unit,ton kilometer per hour,"payload (3.2 t), yearly distance (78000 km): (Sacchi, 2021), capacity factor (0.093): (Limpens, 2021)"
Electric-Powered Short Distance Truck,Operation,=1/3.2,kilometer,ton kilometer,"payload (3.2 t): (Sacchi, 2021)"
Gasoline-Powered Short Distance Truck,Construction,=1 * 8760 * 0.093 / (3.2 * 78000),unit,ton kilometer per hour,"payload (3.2 t), yearly distance (78000 km): (Sacchi, 2021), capacity factor (0.093): (Limpens, 2021)"
Gasoline-Powered Short Distance Truck,Operation,=1/3.2,kilometer,ton kilometer,"payload (3.2 t): (Sacchi, 2021)"
Diesel Hybrid Short Distance Truck,Construction,=1 * 8760 * 0.093 / (3.2 * 78000),unit,ton kilometer per hour,"payload (3.2 t), yearly distance (78000 km): (Sacchi, 2021), capacity factor (0.093): (Limpens, 2021)"
Diesel Hybrid Short Distance Truck,Operation,=1/3.2,kilometer,ton kilometer,"payload (3.2 t): (Sacchi, 2021)"
Propane-Powered Short Distance Truck,Construction,=1 * 8760 * 0.093 / (3.2 * 78000),unit,ton kilometer per hour,"payload (3.2 t), yearly distance (78000 km): (Sacchi, 2021), capacity factor (0.093): (Limpens, 2021)"
Propane-Powered Short Distance Truck,Operation,=1/3.2,kilometer,ton kilometer,"payload (3.2 t): (Sacchi, 2021)"
Sequestration of CO2 in Unmineable Coal Seams,Operation,=1,kilogram,kilogram,None
Uranium,Resource,=1 * 3.6 / (3900*1000),kilogram,kilowatt hour,"Nuclear fuel heat value (3900 GJ/kg) (World Nuclear Association, n.d.)"
Waste,Resource,=-1 * 3.6 / 12.35,kilogram,kilowatt hour,"Municipal solid waste LHV (12.35 MJ/kg): (Moret, 2017)"
