Name,Type,Value,LCA unit,ESM unit,Assumptions & Sources
Conversion of Crops to Jet Fuels,Construction,=3.412969 / (1000 / (8760*0.86)) / 1000000,unit,kilowatt,"refinery capacity (1000 kt of crude oil/year): (Wernet, 2016), refinery performance (3.412969 kt of wet biomass/GWh jetfuels): (Moret, 2017), jet fuels LHV (43 MJ/kg): (Boehm, 2022) ; capacity factor (0.86): (Moret, 2017)"
Conversion of Crops to Jet Fuels,Operation,=1 * 3.6 / 43,kilogram,kilowatt hour,"jet fuels LHV (43 MJ/kg): (Boehm, 2022)"
Cumene Production Process,Construction,=3.6 * (8760 * 0.86) / (0.05 * 1000 * 41.217) / 1000000,unit,kilowatt,"cumene heat of combustion (41.217 MJ/kg): (Wikipedia, 2023), yearly production (0.05 Mt/yr): (Althaus, 2007), capacity factor (0.86): (Moret, 2017)"
Cumene Production Process,Operation,=3.6 / 41.217,kilogram,kilowatt hour,"cumene heat of combustion (41.217 MJ/kg): (Wikipedia, 2023)"
Direct Air Capture at High Temperature,Construction,=8760*0.85/100 / 1000000,unit,kilogram per hour,"capacity factor (0.85): (Moret, 2017), facility capacity (100 kt CO2/year): (Sacchi, 2022)"
Direct Air Capture at High Temperature,Operation,=1,kilogram,kilogram,None
Direct Air Capture at High Temperature (plant),Construction,1,unit,unit,None
Direct Air Capture at High Temperature (plant decommissioning),Construction,-1,unit,unit,None
Direct Air Capture at Low Temperature,Construction,=8760*0.85/1000 / 1000000,unit,kilogram per hour,"capacity factor (0.85): (Moret, 2017), facility capacity (1 Mt CO2/year): (Sacchi, 2022)"
Direct Air Capture at Low Temperature,Operation,=1,kilogram,kilogram,None
Direct Air Capture at Low Temperature (plant),Construction,1,unit,unit,None
Direct Air Capture at Low Temperature (plant decommissioning),Construction,-1,unit,unit,None
Decentralized Cogeneration with Hydrogen,Construction,=1 / 2,unit,kilowatt,Capacity (2 kWe PEM)
Decentralized Cogeneration with Hydrogen,Operation,1,kilowatt hour,kilowatt hour,None
Decentralized Boiler with Gas Combustion,Construction,=1 / 10,unit,kilowatt,Capacity (10 kW)
Decentralized Boiler with Gas Combustion,Operation,=1 * 3600 / 1000,megajoule,kilowatt hour,None
Decentralized Boiler with Oil Combustion,Construction,=1 / 10,unit,kilowatt,Capacity (10 kW)
Decentralized Boiler with Oil Combustion,Operation,=1 * 3600 / 1000,megajoule,kilowatt hour,None
Decentralized Boiler with Oil Combustion (boiler),Construction,1,unit,unit,None
Decentralized Boiler with Oil Combustion (storage tank),Construction,=0.00000044092/0.00000066138,unit,unit,"Tank per boiler: (Wernet, 2016)"
Decentralized Boiler with Wood Combustion,Construction,=1 / 50,unit,kilowatt,Capacity (50 kW)
Decentralized Boiler with Wood Combustion,Operation,=1 * 3600 / 1000,megajoule,kilowatt hour,None
Decentralized Cogeneration with Gas Combustion,Construction,=0.96 / 50,unit,kilowatt,"cogeneration production (0.96 kWe/kWth): (Moret, 2017)"
Decentralized Cogeneration with Gas Combustion,Operation,=3.6/0.2278,megajoule,kilowatt hour,"allocation factor (0.2278): (Wernet, 2016)"
"Decentralized Cogeneration with Gas Combustion (co-generation unit, components for heat and electricity)",Construction,1,unit,unit,None
"Decentralized Cogeneration with Gas Combustion (co-generation unit, components for electricity)",Construction,1,unit,unit,None
"Decentralized Cogeneration with Gas Combustion (co-generation unit, components for heat)",Construction,1,unit,unit,None
Decentralized Cogeneration with Oil Combustion,Construction,=1/10,unit,kilowatt,boiler capacity (10 kW_th)
Decentralized Cogeneration with Oil Combustion,Operation,=1 * 3.6,megajoule,kilowatt hour,None
Decentralized Cogeneration with Oil Combustion (boiler),Construction,1,unit,unit,None
Decentralized Cogeneration with Oil Combustion (storage tank),Construction,=0.00000044092/0.00000066138,unit,unit,"Tank per boiler: (Wernet, 2016)"
Decentralized Cogeneration with Oil Combustion (co-generation unit),Construction,=10/1000,unit,unit,"cogeneration unit capacity (200 kWe), boiler capacity (10 kW_th), 200 kWe ORC to be connected with a 1000 kWth furnace (Wernet, 2016)"
Decentralized Cogeneration with Wood Combustion,Construction,=1/50,unit,kilowatt,boiler capacity (50 kW_th)
Decentralized Cogeneration with Wood Combustion,Operation,=1 * 3.6,megajoule,kilowatt hour,None
Decentralized Cogeneration with Wood Combustion (boiler),Construction,1,unit,unit,None
Decentralized Cogeneration with Wood Combustion (co-generation unit),Construction,=50/1000,unit,unit,"cogeneration unit capacity (200 kWe), boiler capacity (50 kW_th), 200 kWe ORC to be connected with a 1000 kWth furnace (Wernet, 2016)"
Decentralized Direct Electricity,Construction,=1 / 5,unit,kilowatt,Heater capacity (5 kWth)
Decentralized Direct Electricity,Operation,1,kilowatt hour,kilowatt hour,None
Decentralized Heat Pump Electricity ,Construction,=1 / 10,unit,kilowatt,Heat pump capacity (10 kWth)
Decentralized Heat Pump Electricity ,Operation,=1 * 3.6,megajoule,kilowatt hour,None
Decentralized Solar Thermal ,Construction,=1 / 0.7,square meter,kilowatt,"surface to power ratio (0.7 kWth/m2): (IEA-SHC, 2004)"
Decentralized Thermal Gas Heat Pump,Construction,=1 / 4,unit,kilowatt,Heat pump capacity (4 kWth)
Decentralized Thermal Gas Heat Pump,Operation,=1 * 3.6,megajoule,kilowatt hour,None
Decentralized Thermal Gas Heat Pump (heat exchanger),Construction,=0.0000000641/0.000000601,unit,unit,"HEX per HP: (Wernet, 2016)"
Decentralized Thermal Gas Heat Pump (heat pump),Construction,1,unit,unit,None
Decentralized Thermal Storage,Construction,=1 / 20 / 1000,unit,kilowatt,Capacity (20 MW)
Deep Saline Carbon Sequestration,Operation,=1,kilogram,kilogram,None
District Heating Network Boiler with Gas Combustion,Construction,=(1 / 100) * 1.0417,unit,kilowatt,"Fuel consumption (1.0417 kW_NG / kW_heat): (Wernet, 2016)"
District Heating Network Boiler with Gas Combustion,Operation,=1 * 3.6,megajoule,kilowatt hour,None
District Heating Network Boiler with Oil Combustion,Construction,=1.0526/1000,unit,kilowatt,"Fuel consumption (1.0526 kW_oil / kW_heat): (Wernet, 2016)"
District Heating Network Boiler with Oil Combustion,Operation,=1 * 3.6,megajoule,kilowatt hour,None
District Heating Network Boiler with Oil Combustion (boiler),Construction,1,unit,unit,None
District Heating Network Boiler with Oil Combustion (storage tank),Construction,=3.89863157894737E-08/0.000000002924,unit,unit,"Tank per boiler: (Wernet, 2016)"
District Heating Network Boiler with Wood Combustion,Construction,=1 / 1000,unit,kilowatt,Furnace capacity (1000 kW)
District Heating Network Boiler with Wood Combustion,Operation,=1 * 3.6,megajoule,kilowatt hour,None
District Heating Network Boiler with Wood Combustion (boiler),Construction,1,unit,unit,None
District Heating Network Boiler with Wood Combustion (dust collector),Construction,1,unit,unit,None
District Heating Network Cogeneration with Gas Combustion,Construction,=1 * 1.25 / 1000,unit,kilowatt,"cogeneration production (1.25 kWe/kWth): (Moret, 2017), cogeneration unit capacity (1 MWe)"
District Heating Network Cogeneration with Gas Combustion,Operation,=3.6 / 0.1636,megajoule,kilowatt hour,"allocation factor (0.1636): (Wernet, 2016)"
"District Heating Network Cogeneration with Gas Combustion (co-generation unit, components for heat and electricity)",Construction,1,unit,unit,None
"District Heating Network Cogeneration with Gas Combustion (co-generation unit, components for electricity)",Construction,1,unit,unit,None
"District Heating Network Cogeneration with Gas Combustion (co-generation unit, components for heat)",Construction,1,unit,unit,None
District Heating Network Cogeneration with Waste Combustion,Construction,=1 * 0.44 / 200,unit,kilowatt,"cogeneration production (0.44 kWe/kWth): (Moret, 2017), cogeneration unit capacity (200 kWe)"
District Heating Network Cogeneration with Waste Combustion,Operation,=1 * 3.6,megajoule,kilowatt hour,None
District Heating Network Cogeneration with Waste Combustion (boiler),Construction,=3.6 * 1000 * 8760 * 0.85 / (100 * 12.35 * 1000000 * 1/2.22),unit,unit,"facility waste capacity (100 kt/year): (Wernet, 2016) ; process efficency (2.22 GWh waste/GWh heat): (Moret, 2017), municipal solid waste energy density (12.35 MJ/kg): (Moret, 2017) ; capacity factor (0.85): (Moret, 2017)"
District Heating Network Cogeneration with Waste Combustion with Carbon Capture,Construction,=1 * 0.44 / 200,unit,kilowatt,"cogeneration production (0.44 kWe/kWth): (Moret, 2017), cogeneration unit capacity (200 kWe)"
District Heating Network Cogeneration with Waste Combustion with Carbon Capture,Operation,=1 * 3.6,megajoule,kilowatt hour,None
District Heating Network Cogeneration with Waste Combustion with Carbon Capture (boiler),Construction,=3.6 * 1000 * 8760 * 0.85 / (100 * 12.35 * 1000000 * 1/2.22),unit,unit,"facility waste capacity (100 kt/year): (Wernet, 2016) ; process efficency (2.22 GWh waste/GWh heat): (Moret, 2017), municipal solid waste energy density (12.35 MJ/kg): (Moret, 2017) ; capacity factor (0.85): (Moret, 2017)"
District Heating Network Cogeneration with Waste Combustion with Carbon Capture (co-generation unit),Construction,1,unit,unit,"200 kWe ORC to be connected with a 1000 kWth furnace (Wernet, 2016)"
District Heating Network Cogeneration with Waste Combustion (co-generation unit),Construction,1,unit,unit,"200 kWe ORC to be connected with a 1000 kWth furnace (Wernet, 2016)"
District Heating Network Cogeneration with Wood Combustion,Construction,=1 / (6667*0.45),unit,kilowatt,"Thermal efficiency (0.45): (Wernet, 2016) ; allocation factor (0.3373): (Wernet, 2016), capacity (6667 kW_fuel)"
District Heating Network Cogeneration with Wood Combustion,Operation,=3.6 / 0.3373,megajoule,kilowatt hour,"allocation factor (0.3373): (Wernet, 2016)"
District Heating Network Cogeneration with Wood Combustion (boiler),Construction,1,unit,unit,None
District Heating Network Cogeneration with Wood Combustion (dust collector),Construction,1,unit,unit,None
District Heating Network Cogeneration with Wood Combustion (co-generation unit),Construction,=6667*0.45/1000,unit,unit,"cogeneration unit capacity (200 kWe), boiler capacity (6667 kW_fuel), thermal efficiency (0.45), 200 kWe ORC to be connected with a 1000 kWth furnace (Wernet, 2016)"
District Heating Network with Deep Geothermal Heat,Construction,=8760 * 0.85 * 3.6 / 1483 / 1000000,unit,kilowatt,"capacity factor (0.85): (Moret, 2017), capacity (1483 TJ/year)"
District Heating Network with Deep Geothermal Heat,Operation,=1 * 3.6,megajoule,kilowatt hour,None
District Heating Network with Heat Pump Electricity,Construction,=1 / 30,unit,kilowatt,Heat pump capacity (30 kW)
District Heating Network with Heat Pump Electricity,Operation,=1 * 3.6,megajoule,kilowatt hour,None
District Heating Network Thermal Storage,Construction,=1 / 20 / 1000,unit,kilowatt,Capacity (20 MW)
Diesel,Resource,=1 / 11.83,kilogram,kilowatt hour,"Diesel LHV (11.83 kWh/kg): (Engineering ToolBox, 2003)"
Diesel to Storage,Construction,=1 / (16000*846*11.83),unit,kilowatt hour,"LHV diesel (11.83 kWh/kg), diesel density (0.846 kg/L): (Engineering ToolBox, 2003), capacity (16000 m3)"
Direct Usage of stored CO2 ,Operation,1,kilogram,kilogram,None
Deep Oil Reservoir Gas Recovery,Operation,1,kilogram,kilogram,None
Electric Grid at Extra High Voltage,Construction,=(11.5/0.5) * (1700/500) / 1000000,kilometer,kilowatt,"mean extreme high pressure electricity grid power ($P_{EHP} $ = 1700 MW), typical power size connected to the high-voltage electricity grid ($P_{HV}$ = 500 MW), mean high-voltage electricity grid transportation length ($l_{HV}$ = 11.5 km): (Schnidrig, 2023)"
Electricity import,Resource,=1,kilowatt hour,kilowatt hour,None
Electricity exports,Resource,=-1,kilowatt hour,kilowatt hour,Impacts of exports are counted negatively
Electricity Storage,Construction,=1 / 0.114,kilogram,kilowatt hour,"Li-ion battery energy density (0.114 kWh/kg): (Notter, 2010)"
Enhanced Oil Recovery,Operation,1,kilogram,kilogram,None
Ethane,Resource,=1 / 13.28,kilogram,kilowatt hour,"Ethane LHV (13.28 kWh/kg): (Engineering ToolBox, 2003)"
Ethane Cracking Process,Construction,=3.6 * 8760 * 0.86 / (0.05 * 1000 * 50.285) / 1000000,unit,kilowatt,"ethylene heat of combustion (50.285 MJ/kg): (Engineering ToolBox, 2017), yearly production (0.05 Mt/yr): (Althaus, 2007) ; capacity factor (0.86): (Moret, 2017)"
Ethane Cracking Process,Operation,=3.6 / 50.285,kilogram,kilowatt hour,"ethylene heat of combustion (50.285 MJ/kg): (Engineering ToolBox, 2017)"
Ethane Oxidation Process,Construction,=3.6 * 8760 * 0.86 / (0.05 * 1000 * 14.55) / 1000000,unit,kilowatt,"acetic acid heat of combustion (14.55 MJ/kg): (Engineering ToolBox, 2017), yearly production (0.05 Mt/yr): (Althaus, 2007) ; capacity factor (0.86): (Moret, 2017)"
Ethane Oxidation Process,Operation,=3.6 / 14.55,kilogram,kilowatt hour,"acetic acid heat of combustion (14.55 MJ/kg): (Engineering ToolBox, 2017)"
Conversion of Ethane to Ethylene,Construction,=3.6 * 8760 * 0.86 / (0.05 * 1000 * 50.285) / 1000000,unit,kilowatt,"ethylene heat of combustion (50.285 MJ/kg): (Engineering ToolBox, 2017), yearly production (0.05 Mt/yr): (Althaus, 2007) ; capacity factor (0.86): (Moret, 2017)"
Conversion of Ethane to Ethylene,Operation,=3.6 / 50.285,kilogram,kilowatt hour,"ethylene heat of combustion (50.285 MJ/kg): (Engineering ToolBox, 2017)"
Ethanol,Resource,=1 * 3.6 / 31.58,kilogram,kilowatt hour,"Ethanol LHV (31.58 MJ/kg): (Wernet, 2016)"
Conversion of Ethanol to Jet Fuels,Construction,=3.6 * 8760 * 0.86 / (0.05 * 1000 * 43) / 1000000,unit,kilowatt,"jet fuels LHV (43 MJ/kg): (Boehm, 2022), yearly production (0.05 Mt/yr): (Althaus, 2007) ; capacity factor (0.86): (Moret, 2017)"
Conversion of Ethanol to Jet Fuels,Operation,=3.6 / 43,kilogram,kilowatt hour,"jet fuels LHV (43 MJ/kg): (Boehm, 2022)"
Ethylbenzene,Resource,=1 * 3.6 / 40.938,kilogram,kilowatt hour,"Ethylbenzene LHV (40.938 MJ/kg): (Wikipedia, 2023)"
Ethylene,Resource,=1 * 3.6 / 50.285,kilogram,kilowatt hour,"Ethylene heat of combustion (50.285 MJ/kg): (Engineering ToolBox, 2017)"
Ethylene Polymerization,Construction,=(8760*0.86)/(0.05*1000) / 1000000,unit,kilogram per hour,"yearly production (0.05 Mt/yr): (Althaus, 2007) ; capacity factor (0.86): (Moret, 2017)"
Ethylene Polymerization,Operation,1,kilogram,kilogram,None
Food Production,Construction,=8760*0.85 / 200 / 1000000,unit,kilogram per hour,"yearly production (200 kt/yr): (Wernet, 2016) ; capacity factor (0.85): (Moret, 2017)"
Food Production,Operation,1,kilogram,kilogram,None
Food Production (heat pump),Construction,=8760*0.85 / 200 / 1000000,unit,kilogram per hour,"yearly production (200 kt/yr): (Wernet, 2016) ; capacity factor (0.85): (Moret, 2017)"
Food Production (heat pump),Operation,1,kilogram,kilogram,None
Food Production with Heat Recovery,Construction,=8760*0.85 / 200 / 1000000,unit,kilogram per hour,"yearly production (200 kt/yr): (Wernet, 2016) ; capacity factor (0.85): (Moret, 2017)"
Food Production with Heat Recovery,Operation,1,kilogram,kilogram,None
Fischer-Tropsch Synthesis,Construction,=8760 * 0.86/ (0.05 * 1000 * 11.83) / 1000000,unit,kilowatt,"yearly production (0.05 Mt/yr): (Althaus, 2007), LHV diesel (11.83 kWh/kg): (Engineering ToolBox, 2003) ; capacity factor (0.86): (Moret, 2017)"
Fischer-Tropsch Synthesis,Operation,=1 / 11.83,kilogram,kilowatt hour,"LHV diesel (11.83 kWh/kg): (Engineering ToolBox, 2003)"
Hydrogen Production via Gasification,Construction,=1/5 / 1000,unit,kilowatt,Factory capacity (5 MWth)
Hydrogen Production via Gasification,Operation,=1 / 33.3,kilogram,kilowatt hour,"LHV hydrogen (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Hydrogen Production via Gasification (plant),Construction,1,unit,unit,None
Hydrogen Production via Gasification (storage tank),Construction,=0.00000000254628/5.3483199147628E-10,unit,unit,"Tank per plant: (Sacchi, 2022)"
Synthetic Natural Gas Production via Gasification,Construction,=1/5 / 1000,unit,kilowatt,"LHV syngas (23.9 MJ/kg): (Van Der Giesen, 2014), factory capacity (5 MWth)"
Synthetic Natural Gas Production via Gasification,Operation,=1 * 3.6 / 23.9,kilogram,kilowatt hour,"LHV syngas (23.9 MJ/kg): (Van Der Giesen, 2014)"
Synthetic Natural Gas Production via Gasification (plant),Construction,1,unit,unit,None
Synthetic Natural Gas Production via Gasification (storage tank),Construction,=0.00000000254628/5.3483199147628E-10,unit,unit,"Tank per plant: (Sacchi, 2022)"
Gasoline,Resource,=1 * 3.6 / 42.5,kilogram,kilowatt hour,"LHV gasoline (42.5 MJ/kg): (Wernet, 2016)"
Gasoline to Storage,Construction,=1 / (16000*737*12.06),unit,kilowatt hour,"LHV gasoline (12.06 kWh/kg), gasoline density (0.737 kg/L): (Engineering ToolBox, 2003), capacity (16000 m3)"
Geothermal Energy Utilization,Construction,=1/5.5 / 1000,unit,kilowatt,"Geothermal capacity factor (0.86): (Grasby, 2012), plant capacity (5.5 MW_el)"
Geothermal Energy Utilization,Operation,1,kilowatt hour,kilowatt hour,None
Combine Cycle Gas Turbine Hydrogen,Construction,=1000/400000000,unit,kilowatt,Capacity (400 MW_el)
Combine Cycle Gas Turbine Hydrogen,Operation,=1,kilowatt hour,kilowatt hour,None
Hydrogen Compression from High Pressure to Extra High Pressure,Construction,=1/27.7 / 1000,unit,kilowatt,Capacity (27.7 MW)
Hydrogen Compression from High Pressure to Extra High Pressure,Operation,=1 / 33.3,kilogram,kilowatt hour,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Hydrogen Compression from Low Pressure to Medium Pressure,Construction,=1/27.7 / 1000,unit,kilowatt,Capacity (27.7 MW)
Hydrogen Compression from Low Pressure to Medium Pressure,Operation,=1 / 33.3,kilogram,kilowatt hour,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Hydrogen Compression from Medium Pressure to High Pressure,Construction,=1/27.7 / 1000,unit,kilowatt,Capacity (27.7 MW)
Hydrogen Compression from Medium Pressure to High Pressure,Operation,=1 / 33.3,kilogram,kilowatt hour,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Hydrogen,Resource,=1 / 33.3,kilogram,kilowatt hour,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Hydrogen Expansion from Extra High Pressure to High Pressure,Operation,=1 / 33.3,kilogram,kilowatt hour,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Hydrogen Expansion from Extra High Pressure to High Pressure (co-generation unit),Construction,=1 / 160,unit,kilowatt,Cogeneration unit capacity (160 kW)
Hydrogen Expansion from Extra High Pressure to High Pressure (co-generation unit),Operation,=1 / 33.3,kilogram,kilowatt hour,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Hydrogen Expansion from High Pressure to Medium Pressure,Operation,=1 / 33.3,kilogram,kilowatt hour,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Hydrogen Expansion from High Pressure to Medium Pressure (co-generation unit),Construction,=1 / 160,unit,kilowatt,Cogeneration unit capacity (160 kW)
Hydrogen Expansion from High Pressure to Medium Pressure (co-generation unit),Operation,=1 / 33.3,kilogram,kilowatt hour,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Hydrogen Expansion from Medium Pressure to Low Pressure,Operation,=1 / 33.3,kilogram,kilowatt hour,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Hydrogen Expansion from Medium Pressure to Low Pressure (co-generation unit),Construction,=1 / 160,unit,kilowatt,Cogeneration unit capacity (160 kW)
Hydrogen Expansion from Medium Pressure to Low Pressure (co-generation unit),Operation,=1 / 33.3,kilogram,kilowatt hour,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Combined Cycle Gas Turbine Hydrogen and Natural Gas Mix,Construction,=1000/400000000,unit,kilowatt,Capacity (400 MW_el)
Combined Cycle Gas Turbine Hydrogen and Natural Gas Mix,Operation,=1,kilowatt hour,kilowatt hour,None
Combined Cycle Gas Turbine Hydrogen and Natural Gas Mix with Carbon Capture,Construction,=1000/400000000,unit,kilowatt,Capacity (400 MW_el)
Combined Cycle Gas Turbine Hydrogen and Natural Gas Mix with Carbon Capture,Operation,=1,kilowatt hour,kilowatt hour,None
Hydrogen to Storage,Construction,=1 / 33.3,kilogram,kilowatt hour,"LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
High Temperature to Low Temperature Conversion in Decentralized Systems,Operation,=1 * 3.6,megajoule,kilowatt hour,None
Electric Grid at High Voltage,Construction,=11.5/0.5 / 1000000,kilometer,kilowatt,"typical power size connected to the high-voltage electricity grid ($P_{HV}$ = 500 MW), mean high-voltage electricity grid transportation length ($l_{HV}$ = 11.5 km): (Schnidrig, 2023)"
Hydroelectric Dam,Construction,=1 / 22583 / 1000,unit,kilowatt,"Capacity (22583 MWe): (Wernet, 2016)"
Hydroelectric Dam,Operation,=1,kilowatt hour,kilowatt hour,None
Hydrothermal Gasification,Construction,=1/5 / 1000,unit,kilowatt,Capacity (5 MW_th)
Hydrothermal Gasification,Operation,=1 * 3.6 / 23.9,kilogram,kilowatt hour,"LHV of syngas (23.9 MJ/kg): (Van Der Giesen, 2014)"
"Hydrothermal Gasification (co-generation unit, components for heat and electricity)",Construction,=1/200,unit,kilowatt,Cogeneration unit capacity (200 kW_el)
"Hydrothermal Gasification (co-generation unit, components for heat and electricity)",Operation,=1 * 3.6 / (23.9 * 0.4),kilogram,kilowatt hour,"LHV of syngas (23.9 MJ/kg): (Van Der Giesen, 2014), CHP electrical efficiency (0.40): (Poschl, 2010)"
Hydrothermal Gasification with Combined Heat and Power (plant),Construction,=1/5,unit,unit,"Plant capacity (5 MW_th), cogeneration unit capacity (200 kW_el), 200 kWe ORC to be connected with a 1000 kWth furnace (Wernet, 2016)"
Hydrothermal Gasification with Combined Heat and Power (co-generation unit),Construction,1,unit,unit,None
Hydroelectric Power from River Flow,Construction,=1/13787 / 1000,unit,kilowatt,"Capacity (13787 MWe): (Wernet, 2016)"
Hydroelectric Power from River Flow,Operation,=1,kilowatt hour,kilowatt hour,None
Industrial Boiler with Coal Combustion,Construction,=1 / 1000,unit,kilowatt,"Capacity (1-10 MW): (Wernet, 2016)"
Industrial Boiler with Coal Combustion,Operation,=1 * 3.6,megajoule,kilowatt hour,None
Industrial Boiler with Gas Combustion,Construction,=1/100,unit,kilowatt,Capacity (100 kW)
Industrial Boiler with Gas Combustion,Operation,=1 * 3.6,megajoule,kilowatt hour,None
Industrial Boiler with Oil Combustion,Construction,=1 / 1000,unit,kilowatt,Capacity (1 MW)
Industrial Boiler with Oil Combustion,Operation,=1 * 3.6,megajoule,kilowatt hour,None
Industrial Boiler with Oil Combustion (plant),Construction,1,unit,unit,None
Industrial Boiler with Oil Combustion (storage tank),Construction,=3.89863157894737E-08/0.000000002924,unit,unit,"Tank per boiler: (Wernet, 2016)"
Industrial Boiler with Waste Combustion,Construction,=3.6 * 8760 * 0.9 / (100 * 12.35 * 1/1.2195) / 1000000,unit,kilowatt,"Facility waste capacity (100 kt waste/year): (Wernet, 2016) ; municipal solid waste energy density (12.35 MJ/kg): (Moret, 2017), process efficiency (1.2195 kWh waste/kWh heat): (Moret, 2017), capacity factor (0.9): (Moret, 2017)"
Industrial Boiler with Waste Combustion,Operation,=1 * 3.6,megajoule,kilowatt hour,None
Industrial Boiler with Carbon Capture using Waste Combustion,Construction,=3.6 * 8760 * 0.9 / (100 * 12.35 * 1/1.2195) / 1000000,unit,kilowatt,"Facility waste capacity (100 kt waste/year): (Wernet, 2016) ; municipal solid waste energy density (12.35 MJ/kg): (Moret, 2017), process efficiency (1.2195 kWh waste/kWh heat): (Moret, 2017), capacity factor (0.9): (Moret, 2017)"
Industrial Boiler with Carbon Capture using Waste Combustion,Operation,=1 * 3.6,megajoule,kilowatt hour,None
Industrial Boiler with Wood Combustion,Construction,=1 / 1000,unit,kilowatt,Capacity (1000 kW)
Industrial Boiler with Wood Combustion,Operation,=1 * 3.6,megajoule,kilowatt hour,None
Industrial Cogeneration with Gas Combustion,Construction,=0.956 / 1000,unit,kilowatt,"Cogeneration production (0.956 kWe/kWth): (Moret, 2017), capacity (1 MW_el)"
Industrial Cogeneration with Gas Combustion,Operation,=3.6 / 0.1636,megajoule,kilowatt hour,"allocation factor (0.1636): (Wernet, 2016)"
"Industrial Cogeneration with Gas Combustion (co-generation unit, components for heat and electricity)",Construction,1,unit,unit,None
"Industrial Cogeneration with Gas Combustion (co-generation unit, components for electricity)",Construction,1,unit,unit,None
"Industrial Cogeneration with Gas Combustion (co-generation unit, components for heat)",Construction,1,unit,unit,None
Industrial Cogeneration using Waste Combustion,Construction,=1/1000,unit,kilowatt,Capacity (1 MW_th)
Industrial Cogeneration using Waste Combustion,Operation,=1 * 3.6,megajoule,kilowatt hour,None
Industrial Cogeneration with Carbon Capture using Waste Combustion,Construction,=1/1000,unit,kilowatt,Capacity (1 MW_th)
Industrial Cogeneration with Carbon Capture using Waste Combustion,Operation,=1 * 3.6,megajoule,kilowatt hour,None
Industrial Cogeneration with Carbon Capture using Waste Combustion (plant),Construction,=3.6 * 8760 * 0.85 / (100 * 12.35 * 1000 * 1/1.2195),unit,unit,"facility waste capacity (100 kt waste/year): (Wernet, 2016) ; municipal solid waste energy density (12.35 MJ/kg): (Moret, 2017), process efficiency (1.2195 kWh waste/kWh heat): (Moret, 2017) ; capacity factor (0.85): (Moret, 2017)"
Industrial Cogeneration with Carbon Capture using Waste Combustion (co-generation unit),Construction,1,unit,unit,"200 kWe ORC to be connected with a 1000 kWth furnace (Wernet, 2016)"
Industrial Cogeneration using Waste Combustion (plant),Construction,=3.6 * 8760 * 0.85 / (100 * 12.35 * 1000 * 1/1.2195),unit,unit,"facility waste capacity (100 kt waste/year): (Wernet, 2016) ; municipal solid waste energy density (12.35 MJ/kg): (Moret, 2017), process efficiency (1.2195 kWh waste/kWh heat): (Moret, 2017) ; capacity factor (0.85): (Moret, 2017)"
Industrial Cogeneration using Waste Combustion (co-generation unit),Construction,1,unit,unit,"200 kWe ORC to be connected with a 1000 kWth furnace (Wernet, 2016)"
Industrial Cogeneration with Wood Combustion,Construction,=(1 / 6667)/0.45,unit,kilowatt,"Thermal efficiency (0.45): (Wernet, 2016) ; allocation factor (0.3373): (Wernet, 2016), capacity (6667 kW_fuel)"
Industrial Cogeneration with Wood Combustion,Operation,=3.6 / 0.3373,megajoule,kilowatt hour,"allocation factor (0.3373): (Wernet, 2016)"
Industrial Cogeneration with Wood Combustion (dust collector),Construction,1,unit,unit,None
Industrial Cogeneration with Wood Combustion (plant),Construction,1,unit,unit,None
Industrial Cogeneration with Wood Combustion (co-generation unit),Construction,1,unit,unit,None
Industrial Direct Electricity Usage,Construction,=1 / 5,unit,kilowatt,Capacity (5 kW)
Industrial Direct Electricity Usage,Operation,1,kilowatt hour,kilowatt hour,None
Industrial Heat Pump Electricity Usage,Construction,=1 / 10,unit,kilowatt,Heat pump capacity (10 kWth)
Industrial Heat Pump Electricity Usage,Operation,=1 * 3.6,megajoule,kilowatt hour,None
Jetfuel,Resource,=1 * 3.6 / 43,kilogram,kilowatt hour,"jet fuels LHV (43 MJ/kg): (Boehm, 2022)"
100% BioDiesel-Powered Light Commercial Vehicle,Construction,=1 * 8760 * 0.093 / (0.75 * 22660),unit,ton kilometer per hour,"payload (750 kg), yearly distance (22660 km): (Sacchi, 2021), capacity factor (0.093): (Limpens, 2021)"
100% BioDiesel-Powered Light Commercial Vehicle,Operation,=1/0.75,kilometer,ton kilometer,"payload (750 kg): (Sacchi, 2021)"
20% BioDiesel-Powered Light Commercial Vehicle,Construction,=1 * 8760 * 0.093 / (0.75 * 22660),unit,ton kilometer per hour,"payload (750 kg), yearly distance (22660 km): (Sacchi, 2021), capacity factor (0.093): (Limpens, 2021)"
